ROWNUM;Name;Location;Type;TypePhoto;Power;AdmArea;X_WGS;Y_WGS;GLOBALID;
599;"Часы";"Дружинниковская ул., напротив д15";"КП 098-01";"";"0.12";"Центральный АО";"37.576058";"55.759955";"92386950";
600;"Часы";"Волгоградский просп., д19 ул. Талалихина";"КП-098";"";"0.125";"Юго-Восточный АО";"37.681166";"55.727822";"92386951";
601;"Часы";"Волгоградский просп., д119 А дублер Волгоградского просп.";"КП-098";"";"0.125";"Юго-Восточный АО";"37.765918";"55.706125";"92386952";
602;"Часы";"Волоколамское шоссе, д26";"КП 098-03";"";"0.12";"Северный АО";"37.483037";"55.811483";"92386953";
603;"Часы";"Красный Казанец ул., вл.18 Станция метро ""Выхино""";"КП-098";"";"0.08";"Восточный АО";"37.819855";"55.716772";"92386954";
604;"Часы";"Гарибальди ул., д19 к/т ""Черемушки""";"АЧС-800";"";"0.08";"Юго-Западный АО";"37.5493";"55.672451";"92386955";
605;"Часы";"Ульянова Дмитрия ул., д35-37 пересечение с ул.Б. Черемушкинская";"КП 098-01";"";"0.12";"Юго-Западный АО";"37.588053";"55.683075";"92386956";
606;"Часы";"Ульянова Дмитрия ул., д20";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.571246";"55.688178";"92386957";
607;"Часы";"Дмитровское шоссе, напротив д5";"КП 098-04/1";"";"0.1";"Северный АО";"37.578104";"55.813225";"92386958";
608;"Часы";"Дмитровское шоссе, д9 Институт зерна";"КП 098-04";"";"0.125";"Северный АО";"37.576258";"55.815607";"92386959";
609;"Часы";"Дорогомиловская Б.ул., д8";"КП 098-01";"";"0.12";"Западный АО";"37.56612";"55.745788";"92386960";
610;"Часы";"Душинская ул., д5 2-й ЭТР(2 уч.)";"КП 098-01";"";"0.12";"Юго-Восточный АО";"37.705499";"55.745789";"92386961";
611;"Часы";"Елоховский пр., д1 Елоховский собор";"АЧС-800";"";"0.08";"Центральный АО";"37.673867";"55.772702";"92386962";
612;"Часы";"Енисейская ул., д23";"КП 098-01";"";"0.125";"Северо-Восточный АО";"37.663721";"55.86847";"92386963";
613;"Часы";"Житная ул., д12-14 МВД архив";"КП 098-01";"";"0.12";"Центральный АО";"37.615976";"55.73023";"92386964";
614;"Часы";"Жукова Маршала просп., д26 к2";"КП 098-01";"";"0.125";"Северо-Западный АО";"37.48124";"55.775479";"92386965";
615;"Часы";"Зацепский вал ул., напротив д4, Сад. кольцо (м ""Павелецкая"")";"КП 098-01";"";"0.12";"Центральный АО";"37.634301";"55.730975";"92386966";
616;"Часы";"14-й микрорайон, магазин ""Александр-СМ""";"КП 098-01";"";"0.12";"Зеленоградский АО";"37.151507";"55.98418";"92386967";
617;"Часы";"Панфиловский просп., к.1104 пересечение с местным пр.";"КП 098-04";"";"0.125";"Зеленоградский АО";"37.188466";"55.994109";"92386968";
618;"Часы";"Юности пл., остановка 400-го маршрута";"КП 098-01";"";"0.12";"Зеленоградский АО";"37.211344";"56.001294";"92386969";
619;"Часы";"8-й микрорайон, станция ""Крюково"" со стороны 8-го мкр-на";"КП 098-01";"";"0.12";"Зеленоградский АО";"37.175221";"55.980638";"92386970";
620;"Часы";"18-й микрорайон, станция ""Крюково"" со стороны 18-го мкр-н";"КП 098-01";"";"0.12";"Зеленоградский АО";"37.172988";"55.979545";"92386971";
621;"Часы";"Центральный просп., пересечение с Савеловским пр. у здания префектуры";"КП 098-01";"";"0.12";"Зеленоградский АО";"37.214948";"55.992088";"92386972";
622;"Часы";"Зеленый просп., д81 к/т ""Киргизия""";"КП 098-01";"";"0.08";"Восточный АО";"37.821088";"55.751669";"92386973";
623;"Часы";"Люблинская ул., д165 к2 с обр.ст.""Макдоналдса""";"КП 098-01";"";"0.125";"Юго-Восточный АО";"37.744233";"55.649756";"92386974";
624;"Часы";"Бутырская ул., д89 к2 пересечение с 1-й Хуторской ул.";"КП 098-01";"";"0.125";"Северный АО";"37.5818";"55.80566";"92386975";
625;"Часы";"Сущевский Вал ул., напротив д59 пересечение с Шереметьевской ул.";"КП 098-01";"";"0.125";"Северо-Восточный АО";"37.615617";"55.793261";"92386976";
626;"Часы";"Сущевский Вал ул., д55 пересечение с ул.Октябрьской";"КП 098-01";"";"0.125";"Северо-Восточный АО";"37.614589";"55.793479";"92386977";
627;"Часы";"Пресненский вал ул., д5 пересесение с Расторгуевским пер.";"КП 098-01";"";"0.125";"Центральный АО";"37.564405";"55.766467";"92386978";
628;"Часы";"Кибальчича ул., напротив д6 пересечение с Ярославской ул.(5 оп)";"КП 098-01";"";"0.125";"Северо-Восточный АО";"37.649592";"55.816066";"92386979";
